Класс,Тип,Подтип,Ед. изм.,Стоимость,Структура затрат
Все,Стены/пилоны,Подземная часть,м³,28-32 тыс.,Бетон: 30%; Арматура: 35%; Опалубка: 20%; Работа: 15%
Все,Стены/пилоны,Надземная часть,м³,32-36 тыс.,Бетон: 25%; Арматура: 35%; Опалубка: 25%; Работа: 15%
Все,Колонны,Подземная часть,м³,35-40 тыс.,Бетон: 25%; Арматура: 40%; Опалубка: 20%; Работа: 15%
Все,Колонны,Надземная часть,м³,40-45 тыс.,Бетон: 20%; Арматура: 40%; Опалубка: 25%; Работа: 15%
Все,Перекрытия,Подземная часть,м³,32-36 тыс.,Бетон: 35%; Арматура: 30%; Опалубка: 20%; Работа: 15%
Все,Перекрытия,Надземная часть,м³,36-40 тыс.,Бетон: 30%; Арматура: 30%; Опалубка: 25%; Работа: 15%
Все,Лестницы,-,м³,45-50 тыс.,Бетон: 25%; Арматура: 35%; Опалубка: 25%; Работа: 15%
