Класс,Тип,Подтип,Ед. изм.,Стоимость,Структура затрат
Все,Видеонаблюдение,IP-камеры внутренние,шт,35-40 тыс.,Оборудование: 85%; Монтаж: 15%
Все,Видеонаблюдение,IP-камеры уличные,шт,55-60 тыс.,Оборудование: 85%; Монтаж: 15%
Все,Видеонаблюдение,Видеосерверы,шт,850-950 тыс.,Оборудование: 80%; Монтаж: 10%; Наладка: 10%
Все,СКУД,Точка прохода,шт,120-150 тыс.,Оборудование: 70%; Монтаж: 20%; Наладка: 10%
Все,СКУД,Электронные замки,шт,45-55 тыс.,Оборудование: 80%; Монтаж: 20%
Все,ОС,Извещатели,шт,4.5-5.5 тыс.,Оборудование: 70%; Монтаж: 30%
Все,ОС,Контроллеры,шт,85-95 тыс.,Оборудование: 75%; Монтаж: 15%; Наладка: 10%
