Класс,Тип,Подтип,Ед. изм.,Стоимость,Структура затрат
Все,Плитный фундамент,Толщина до 800мм,м³,18-22 тыс.,Бетон: 35%; Арматура: 45%; Работа: 20%
Все,Плитный фундамент,Толщина более 800мм,м³,20-24 тыс.,Бетон: 40%; Арматура: 40%; Работа: 20%
Все,Свайное поле,Буронабивные сваи Ø600мм,пог.м,12-15 тыс.,Материалы: 60%; Работа: 30%; Механизмы: 10%
Все,Свайное поле,Буронабивные сваи Ø800мм,пог.м,15-18 тыс.,Материалы: 60%; Работа: 30%; Механизмы: 10%
Все,Свайное поле,Ростверк,м³,22-26 тыс.,Бетон: 35%; Арматура: 45%; Работа: 20%
