Класс,Тип,Подтип,Ед. изм.,Стоимость,Структура затрат
Все,Стена в грунте,Глубина до 15м,м²,45-50 тыс.,Материалы: 55%; Работа: 35%; Механизмы: 10%
Все,Стена в грунте,Глубина до 20м,м²,55-65 тыс.,Материалы: 50%; Работа: 40%; Механизмы: 10%
Все,Буросекущие сваи,Ø600мм,м²,40-45 тыс.,Материалы: 50%; Работа: 40%; Механизмы: 10%
Все,Буросекущие сваи,Ø800мм,м²,45-50 тыс.,Материалы: 50%; Работа: 40%; Механизмы: 10%
Все,Шпунт,Погружение,м²,35-40 тыс.,Материалы: 60%; Работа: 30%; Механизмы: 10%
Все,Шпунт,Извлечение,м²,8-12 тыс.,Работа: 70%; Механизмы: 30%
