Класс,Тип,Подтип,Ед. изм.,Стоимость,Структура затрат
Все,ГРЩ/ВРУ,До 630А,шт,2.5-3 млн,Оборудование: 75%; Монтаж: 15%; Наладка: 10%
Все,ГРЩ/ВРУ,До 1600А,шт,4-5 млн,Оборудование: 75%; Монтаж: 15%; Наладка: 10%
Все,ГРЩ/ВРУ,До 3200А,шт,7-8 млн,Оборудование: 75%; Монтаж: 15%; Наладка: 10%
Все,Кабельные линии,Силовые до 95 мм²,м.п.,2.5-3 тыс.,Материалы: 65%; Монтаж: 35%
Все,Кабельные линии,Силовые более 95 мм²,м.п.,4-5 тыс.,Материалы: 70%; Монтаж: 30%
Все,Лотки/каналы,-,м.п.,1.8-2.2 тыс.,Материалы: 60%; Монтаж: 40%
