Класс,Тип,Подтип,Ед. изм.,Стоимость,Структура затрат
Все,Водоснабжение,Насосные станции ХВС,компл,2.5-3.5 млн,Оборудование: 70%; Монтаж: 20%; Наладка: 10%
Все,Водоснабжение,Насосные станции ГВС,компл,3-4 млн,Оборудование: 70%; Монтаж: 20%; Наладка: 10%
Все,Водоснабжение,Водоподготовка,м³/сут,35-45 тыс.,Оборудование: 65%; Монтаж: 25%; Наладка: 10%
Все,Трубопроводы,Магистрали (сталь),м.п.,4.5-5.5 тыс.,Материалы: 55%; Монтаж: 45%
Все,Трубопроводы,Разводка (сшитый полиэтилен),м.п.,2.5-3.5 тыс.,Материалы: 60%; Монтаж: 40%
Все,Канализация,Трубопроводы чугун,м.п.,5.5-6.5 тыс.,Материалы: 60%; Монтаж: 40%
Все,Канализация,Трубопроводы пластик,м.п.,3.5-4.5 тыс.,Материалы: 55%; Монтаж: 45%
Все,Канализа›ция,КНС,компл,2-3 млн,Оборудование: 70%; Монтаж: 20%; Наладка: 10%
